POS,PLAYER,100,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,50,4S,6S
1,"Vaibhav Suryavanshi
RR",1,5,5,0,155,101,31.00,74,209.45,0,10,16
2,"Abhishek Sharma
SRH",1,11,10,0,314,141,31.40,174,180.45,1,35,17
3,"Ishan Kishan
SRH",1,11,10,2,196,106*,24.50,136,144.11,0,19,7
4,"Priyansh Arya
PBKS",1,12,12,0,417,103,34.75,214,194.85,2,42,28
