Team,Played,Won,Lost,NRR,Points
Delhi Capitals,14,10,4,0.481,20
Chennai Super Kings,14,9,5,0.455,18
Royal Challengers Bangalore,14,9,5,-0.14,18
Kolkata Knight Riders,14,7,7,0.587,14
Mumbai Indians,14,7,7,0.116,14
Punjab Kings,14,6,8,-0.001,12
Rajasthan Royals,14,5,9,-0.993,10
Sunrisers Hyderabad,14,3,11,-0.545,6
