Team,Played,Won,Lost,NRR,Points
Delhi Daredevils,16,11,5,0.617,22
Kolkata Knight Riders,16,10,5,0.561,21
Mumbai Indians,16,10,6,-0.1,20
Chennai Super Kings,16,8,7,0.1,17
Royal Challengers Bangalore,16,8,7,-0.022,17
Punjab Kings,16,8,8,-0.216,16
Rajasthan Royals,16,7,9,0.201,14
Deccan Chargers,16,4,11,-0.509,9
Pune Warriors India,16,4,12,-0.551,8
