Team,Played,Won,Lost,NRR,Points
Chennai Super Kings,16,11,5,0.53,22
Mumbai Indians,16,11,5,0.441,22
Rajasthan Royals,16,10,6,0.322,20
Sunrisers Hyderabad,16,10,6,0.003,20
Royal Challengers Bangalore,16,9,7,0.457,18
Punjab Kings,16,8,8,0.226,16
Kolkata Knight Riders,16,6,10,-0.095,12
Pune Warriors India,16,4,12,-1.006,8
Delhi Daredevils,16,3,13,-0.848,6
