Team,Played,Won,Lost,NRR,Points
Mumbai Indians,14,10,4,1.084,20
Deccan Chargers,14,8,6,-0.297,16
Chennai Super Kings,14,7,7,0.274,14
Royal Challengers Bangalore,14,7,7,0.219,14
Delhi Daredevils,14,7,7,0.021,14
Kolkata Knight Riders,14,7,7,-0.341,14
Rajasthan Royals,14,6,8,-0.514,12
Punjab Kings,14,4,10,-0.478,8
