Team,Played,Won,Lost,NRR,Points
Gujarat Titans,13,9,4,0.602,18
Royal Challengers Bangalore,12,8,3,0.482,17
Punjab Kings,12,8,3,0.389,17
Mumbai Indians,13,8,5,1.292,16
Delhi Capitals,13,6,6,-0.019,13
Lucknow Super Giants,13,6,7,-0.337,12
Kolkata Knight Riders,13,5,6,0.193,12
Sunrisers Hyderabad,12,4,7,-1.005,9
Rajasthan Royals,14,4,10,-0.549,8
Chennai Super Kings,13,3,10,-1.030,6
