Team,Played,Won,Lost,NRR,Points
Kolkata Knight Riders,14,9,3,1.428,20
Sunrisers Hyderabad,14,8,5,0.414,17
Rajasthan Royals,14,8,5,0.273,17
Royal Challengers Bangalore,14,7,7,0.459,14
Chennai Super Kings,14,7,7,0.392,14
Delhi Capitals,14,7,7,-0.377,14
Lucknow Super Giants,14,7,7,-0.667,14
Gujarat Titans,14,5,7,-1.063,12
Punjab Kings,14,5,9,-0.353,10
Mumbai Indians,14,4,10,-0.318,8
