Team,Played,Won,Lost,NRR,Points
Sunrisers Hyderabad,14,9,5,0.284,18
Chennai Super Kings,14,9,5,0.253,18
Kolkata Knight Riders,14,8,6,-0.07,16
Rajasthan Royals,14,7,7,-0.25,14
Mumbai Indians,14,6,8,0.317,12
Royal Challengers Bangalore,14,6,8,0.129,12
Punjab Kings,14,6,8,-0.502,12
Delhi Daredevils,14,5,9,-0.222,10
