match_id,inning,batting_team,total_runs
501206,1,Chennai Super Kings,188
501207,1,Kochi Tuskers Kerala,148
501208,1,Deccan Chargers,175
501209,1,Rajasthan Royals,159
501210,1,Mumbai Indians,182
501211,1,Chennai Super Kings,183
501212,1,Deccan Chargers,165
501213,1,Pune Warriors,187
501214,1,Rajasthan Royals,81
501215,1,Chennai Super Kings,131
501216,1,Deccan Chargers,168
501218,1,Pune Warriors,118
501219,1,Kochi Tuskers Kerala,132
501220,1,Kings XI Punjab,195
501221,1,Mumbai Indians,164
501222,1,Kolkata Knight Riders,171
501223,1,Delhi Daredevils,231
501224,1,Mumbai Indians,172
501225,1,Kochi Tuskers Kerala,109
501226,1,Chennai Super Kings,142
501227,1,Delhi Daredevils,160
501228,1,Pune Warriors,141
501229,1,Deccan Chargers,129
501230,1,Kolkata Knight Riders,148
501231,1,Mumbai Indians,94
501232,1,Royal Challengers Bangalore,181
501233,1,Delhi Daredevils,157
501234,1,Kings XI Punjab,119
501235,1,Pune Warriors,143
501236,1,Chennai Super Kings,165
501237,1,Mumbai Indians,159
501238,1,Delhi Daredevils,140
501239,1,Kolkata Knight Riders,169
501240,1,Rajasthan Royals,147
501241,1,Mumbai Indians,160
501242,1,Kochi Tuskers Kerala,156
501243,1,Deccan Chargers,175
501244,1,Royal Challengers Bangalore,205
501245,1,Chennai Super Kings,114
501246,1,Mumbai Indians,178
501247,1,Kochi Tuskers Kerala,125
501248,1,Kings XI Punjab,119
501249,1,Chennai Super Kings,196
501250,1,Deccan Chargers,136
501251,1,Kings XI Punjab,163
501252,1,Rajasthan Royals,146
501253,1,Chennai Super Kings,176
501254,1,Kochi Tuskers Kerala,178
501255,1,Kolkata Knight Riders,89
501256,1,Deccan Chargers,135
501257,1,Kings XI Punjab,170
501258,1,Rajasthan Royals,97
501259,1,Pune Warriors,136
501260,1,Kings XI Punjab,232
501261,1,Chennai Super Kings,152
501262,1,Pune Warriors,118
501263,1,Mumbai Indians,133
501264,1,Deccan Chargers,198
501265,1,Delhi Daredevils,56
501266,1,Chennai Super Kings,128
501267,1,Kolkata Knight Riders,175
501268,1,Royal Challengers Bangalore,175
501269,1,Kolkata Knight Riders,147
501270,1,Royal Challengers Bangalore,185
501271,1,Chennai Super Kings,205
548306,1,Chennai Super Kings,112
548307,1,Kolkata Knight Riders,97
548308,1,Pune Warriors,129
548309,1,Rajasthan Royals,191
548310,1,Royal Challengers Bangalore,157
548311,1,Chennai Super Kings,193
548312,1,Rajasthan Royals,164
548313,1,Pune Warriors,166
548314,1,Deccan Chargers,138
548315,1,Kolkata Knight Riders,165
548316,1,Chennai Super Kings,110
548317,1,Mumbai Indians,197
548318,1,Royal Challengers Bangalore,205
548319,1,Pune Warriors,115
548320,1,Rajasthan Royals,131
548321,1,Deccan Chargers,157
548322,1,Chennai Super Kings,155
548323,1,Kings XI Punjab,134
548324,1,Rajasthan Royals,195
548325,1,Mumbai Indians,92
548326,1,Deccan Chargers,196
548327,1,Pune Warriors,182
548328,1,Kings XI Punjab,124
548329,1,Deccan Chargers,187
548330,1,Chennai Super Kings,164
548331,1,Kings XI Punjab,163
548332,1,Rajasthan Royals,146
548333,1,Pune Warriors,192
548334,1,Mumbai Indians,163
548335,1,Deccan Chargers,126
548336,1,Royal Challengers Bangalore,189
548337,1,Pune Warriors,146
548339,1,Kings XI Punjab,168
548341,1,Deccan Chargers,177
548342,1,Delhi Daredevils,207
548343,1,Kings XI Punjab,156
548344,1,Kolkata Knight Riders,190
548345,1,Delhi Daredevils,152
548346,1,Deccan Chargers,100
548347,1,Chennai Super Kings,139
548348,1,Deccan Chargers,186
548349,1,Rajasthan Royals,141
548350,1,Royal Challengers Bangalore,158
548351,1,Mumbai Indians,120
548352,1,Chennai Super Kings,160
548353,1,Kolkata Knight Riders,150
548354,1,Rajasthan Royals,177
548355,1,Chennai Super Kings,173
548356,1,Deccan Chargers,181
548357,1,Delhi Daredevils,153
548358,1,Pune Warriors,125
548359,1,Kings XI Punjab,170
548360,1,Mumbai Indians,141
548361,1,Rajasthan Royals,126
548362,1,Royal Challengers Bangalore,173
548363,1,Mumbai Indians,182
548364,1,Delhi Daredevils,114
548365,1,Rajasthan Royals,170
548366,1,Deccan Chargers,190
548367,1,Royal Challengers Bangalore,171
548368,1,Kolkata Knight Riders,158
548369,1,Kings XI Punjab,136
548370,1,Kolkata Knight Riders,140
548371,1,Chennai Super Kings,120
548372,1,Royal Challengers Bangalore,215
548373,1,Rajasthan Royals,126
548374,1,Kings XI Punjab,141
548375,1,Kolkata Knight Riders,136
548376,1,Deccan Chargers,132
548377,1,Rajasthan Royals,162
548378,1,Kolkata Knight Riders,162
548379,1,Chennai Super Kings,187
548380,1,Chennai Super Kings,222
548381,1,Chennai Super Kings,190
597998,1,Delhi Daredevils,128
597999,1,Royal Challengers Bangalore,156
598000,1,Sunrisers Hyderabad,126
598001,1,Rajasthan Royals,165
598002,1,Mumbai Indians,148
598003,1,Pune Warriors,99
598004,1,Royal Challengers Bangalore,130
598005,1,Rajasthan Royals,144
598006,1,Mumbai Indians,209
598007,1,Kings XI Punjab,138
598008,1,Kolkata Knight Riders,154
598009,1,Rajasthan Royals,145
598010,1,Delhi Daredevils,114
598011,1,Mumbai Indians,183
598012,1,Royal Challengers Bangalore,165
598013,1,Kolkata Knight Riders,180
598014,1,Kings XI Punjab,124
598015,1,Pune Warriors,159
598016,1,Kings XI Punjab,157
598017,1,Delhi Daredevils,152
598018,1,Sunrisers Hyderabad,119
598019,1,Rajasthan Royals,179
598020,1,Chennai Super Kings,169
598021,1,Kings XI Punjab,123
598022,1,Kolkata Knight Riders,119
598023,1,Rajasthan Royals,117
598024,1,Mumbai Indians,161
598025,1,Pune Warriors,185
598026,1,Rajasthan Royals,185
598027,1,Royal Challengers Bangalore,263
598028,1,Kings XI Punjab,171
598029,1,Kolkata Knight Riders,159
