Match_No,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2
Match 54,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,Field,236,5,20.0,199,7,20.0,Punjab Kings,No,37.0,Runs,Prabhsimran Singh,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Daniel Manohar,2025-05-04,19:30:00,BRSABV Ekana Cricket Stadium,Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited
Match 55,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Field,133,7,0.0,0,0,0.0,,No,,,,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Pankaj Dharmani,2025-05-05,19:30:00,Arun Jaitley Stadium,,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd
Match 56,Mumbai Indians,Gujarat Titans,Gujarat Titans,Field,155,8,20.0,147,7,19.0,Gujarat Titans,No,3.0,Wickets,Shubman Gill,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Arjan Kripal Singh,2025-05-06,19:30:00,Narendra Modi Stadium,Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited
Match 57,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,179,6,20.0,183,8,19.4,Chennai Super Kings,No,2.0,Wickets,Noor Ahmad,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Amit Sharma,2025-05-07,19:30:00,M. A. Chidambaram Stadium,Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited
Match 58,Punjab Kings,Delhi Capitals,Punjab Kings,Bat,122,1,10.1,0,0,0.0,,No,,,,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Daniel Manohar,2025-05-08,19:30:00,Arun Jaitley Stadium,,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd
Match 59,Lucknow Super Giants,Royal Challengers Bengaluru,,,0,0,0.0,0,0,0.0,,No,,,,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,,2025-05-09,7:30 pm IST,M. Chinnaswamy Stadium,Scheduled,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd
Match 60,Sunrisers Hyderabad,Kolkata Knight Riders,,,0,0,0.0,0,0,0.0,,No,,,,Michael Gough,Michael Gough,Michael Gough,,2025-05-10,7:30 pm IST,Eden Gardens,Scheduled,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited
Match 61,Punjab Kings,Mumbai Indians,,,0,0,0.0,0,0,0.0,,No,,,,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,,2025-05-11,3:30 pm IST,Wankhede Stadium,Scheduled,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd
Match 62,Delhi Capitals,Gujarat Titans,,,0,0,0.0,0,0,0.0,,No,,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,,2025-05-11,7:30 pm IST,Narendra Modi Stadium,Scheduled,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited
Match 63,Chennai Super Kings,Rajasthan Royals,,,0,0,0.0,0,0,0.0,,No,,,,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,,2025-05-12,7:30 pm IST,Sawai Mansingh Stadium,Scheduled,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited
Match 64,Royal Challengers Bengaluru,Sunrisers Hyderabad,,,0,0,0.0,0,0,0.0,,No,,,,Michael Gough,Michael Gough,Michael Gough,,2025-05-13,7:30 pm IST,Rajiv Gandhi Intl. Cricket Stadium,Scheduled,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Pat Cummins,Daniel Vettori,Sun TV Network Limited
Match 65,Gujarat Titans,Lucknow Super Giants,,,0,0,0.0,0,0,0.0,,No,,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,,2025-05-14,7:30 pm IST,BRSABV Ekana Cricket Stadium,Scheduled,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited
Match 66,Mumbai Indians,Delhi Capitals,,,0,0,0.0,0,0,0.0,,No,,,,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,,2025-05-15,7:30 pm IST,Arun Jaitley Stadium,Scheduled,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd
Match 67,Rajasthan Royals,Punjab Kings,,,0,0,0.0,0,0,0.0,,No,,,,Michael Gough,Michael Gough,Michael Gough,,2025-05-16,7:30 pm IST,"PCA New Stadium, Mullanpur",Scheduled,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited
Match 68,Royal Challengers Bengaluru,Kolkata Knight Riders,,,0,0,0.0,0,0,0.0,,No,,,,Nitin Menon,Nitin Menon,Nitin Menon,,2025-05-17,7:30 pm IST,Eden Gardens,Scheduled,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited
Match 69,Gujarat Titans,Chennai Super Kings,,,0,0,0.0,0,0,0.0,,No,,,,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,,2025-05-18,3:30 pm IST,M. A. Chidambaram Stadium,Scheduled,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited
Match 70,Lucknow Super Giants,Sunrisers Hyderabad,,,0,0,0.0,0,0,0.0,,No,,,,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,,2025-05-18,7:30 pm IST,Rajiv Gandhi Intl. Cricket Stadium,Scheduled,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited
Match 71,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,Venue Rajiv Gandhi International Stadium Hyderabad,,,,2025-05-20,7:30 pm IST,,Scheduled,,,,,,
Match 72,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,Venue Rajiv Gandhi International Stadium Hyderabad,,,,2025-05-21,7:30 pm IST,,Scheduled,,,,,,
Match 73,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,Venue Eden Gardens Kolkata,,,,2025-05-23,7:30 pm IST,,Scheduled,,,,,,
Match 74,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,Venue Eden Gardens Kolkata,,,,2025-05-25,7:30 pm IST,,Scheduled,,,,,,
