Match_No,On_Field_Umpire,Third_Umpire,Referee,MOM,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin
28,"Nitin Menon, Nitin Menon",Nitin Menon,Javagal Srinath,Phil Salt,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,9  Wickets
29,"Chris Gaffaney, Chris Gaffaney",Chris Gaffaney,Prakash Bhatt,Karn Sharma,Delhi Capitals,Field,W     Mumbai Indians,12  Runs
30,"Virender Kumar Sharma, Virender Kumar Sharma",Virender Kumar Sharma,Narayanankutty V,Dhoni,Chennai Super Kings,Field,Chennai Super Kings,5  Wickets
31,"Sai Darshan Kumar, Sai Darshan Kumar",Sai Darshan Kumar,Javagal Srinath,Yuzvendra Chahal,Punjab Kings,Bat,Punjab Kings,16  Runs
32,"Akshay Totre, Akshay Totre",Akshay Totre,Shakti Singh,Mitchell Starc,Rajasthan Royals,Field,Overs  RR                    Delhi Capitals,Super Over
33,"Madanagopal Jayaraman, Madanagopal Jayaraman",Madanagopal Jayaraman,Prakash Bhatt,Will Jacks,Mumbai Indians,Field,Mumbai Indians,4  Wickets
34,"Virender Kumar Sharma, Virender Kumar Sharma",Virender Kumar Sharma,Narayanankutty V,Tim David,Punjab Kings,Field,Punjab Kings,5  Wickets
35,"Akshay Totre, Akshay Totre",Akshay Totre,Rajiv Seth,Jos Buttler,Gujarat Titans,Field,Gujarat Titans,7  Wickets
36,"Madanagopal Jayaraman, Madanagopal Jayaraman",Madanagopal Jayaraman,Prakash Bhatt,Avesh Khan,Lucknow Super Giants,Bat,Lucknow Super Giants,2  Runs
37,"Sai Darshan Kumar, Sai Darshan Kumar",Sai Darshan Kumar,Javagal Srinath,Virat Kohli,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,7  Wickets
38,"Virender Kumar Sharma, Virender Kumar Sharma",Virender Kumar Sharma,Narayanankutty V,Rohit Sharma,Mumbai Indians,Field,Mumbai Indians,9  Wickets
39,"Rohan Pandit, Rohan Pandit",Rohan Pandit,Rajiv Seth,Shubman Gill,Kolkata Knight Riders,Field,Gujarat Titans,39  Runs
40,"Sai Darshan Kumar, Sai Darshan Kumar",Sai Darshan Kumar,Javagal Srinath,Mukesh Kumar,Delhi Capitals,Field,Delhi Capitals,8  Wickets
41,"Madanagopal Jayaraman, Madanagopal Jayaraman",Madanagopal Jayaraman,Iqbal Rashid Siddiqui,Trent Boult,Mumbai Indians,Field,Mumbai Indians,7  Wickets
42,"Michael Gough, Michael Gough",Michael Gough,Rajiv Seth,Josh Hazlewood,Rajasthan Royals,Field,Royal Challengers Bengaluru,11  Runs
43,"Nitin Menon, Nitin Menon",Nitin Menon,Javagal Srinath,Harshal Patel,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,5  Wickets
44,"Adrian Holdstock, Adrian Holdstock",Adrian Holdstock,Rajiv Seth,,Punjab Kings,Bat,,
45,"Chris Gaffaney, Chris Gaffaney",Chris Gaffaney,Daniel Manohar,Will Jacks,Lucknow Super Giants,Field,Mumbai Indians,54  Runs
46,"Nitin Menon, Nitin Menon",Nitin Menon,Iqbal Rashid Siddiqui,Krunal Pandya,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,6  Wickets
47,"Michael Gough, Michael Gough",Michael Gough,Rajiv Seth,Vaibhav Suryavanshi,Rajasthan Royals,Field,Rajasthan Royals,8   Wickets
48,"Sai Darshan Kumar, Sai Darshan Kumar",Sai Darshan Kumar,Iqbal Rashid Siddiqui,Sunil Narine,Delhi Capitals,Field,Kolkata Knight Riders,14  Runs
49,"Akshay Totre, Akshay Totre",Akshay Totre,Amit Sharma,Shreyas Iyer,Punjab Kings,Field,Punjab Kings,4  Wickets
50,"Vinod Seshan, Vinod Seshan",Vinod Seshan,Daniel Manohar,Ryan Rickelton,Rajasthan Royals,Field,Mumbai Indians,100  Runs
51,"Virender Kumar Sharma, Virender Kumar Sharma",Virender Kumar Sharma,Pankaj Dharmani,Prasidh Krishna,Sunrisers Hyderabad,Field,Gujarat Titans,38  Runs
52,"Nitin Menon, Nitin Menon",Nitin Menon,Iqbal Rashid Siddiqui,Romario Shepherd,Chennai Super Kings,Field,Royal Challengers Bengaluru,2  Runs
53,"Rohan Pandit, Rohan Pandit",Rohan Pandit,Amit Sharma,Andre Russell,Kolkata Knight Riders,Bat,Kolkata Knight Riders,
54,"Madanagopal Jayaraman, Madanagopal Jayaraman",Madanagopal Jayaraman,Daniel Manohar,Prabhsimran Singh,Lucknow Super Giants,Field,Punjab Kings,37  Runs
