Match_No,Date,Time,Team1,Team2,Venue,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy
Match 30,2025-04-14,19:30:00,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,166,7,20.0,168,5,19.3,Chennai Super Kings,No,5.0,Wickets
Match 31,2025-04-15,19:30:00,Punjab Kings,Kolkata Knight Riders,"New PCA Stadium, Chandigarh",Completed,111,10,15.3,95,10,15.1,Punjab Kings,No,16.0,Runs
Match 32,2025-04-16,19:30:00,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Completed,188,5,20.0,188,4,20.0,Delhi Capitals,Yes,,
Match 33,2025-04-17,19:30:00,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Completed,166,6,18.1,162,5,20.0,Mumbai Indians,No,4.0,Wickets
Match 34,2025-04-18,19:30:00,Royal Challengers Bangalore,Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",Completed,95,9,14.0,98,5,12.1,Punjab Kings,No,5.0,Wickets
Match 35,2025-04-19,15:30:00,Gujarat Titans,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Completed,204,3,19.2,203,8,20.0,Gujarat Titans,No,7.0,Wickets
Match 36,2025-04-19,19:30:00,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",Completed,178,5,20.0,180,5,20.0,Lucknow Super Giants,No,2.0,Runs
Match 37,2025-04-20,15:30:00,Punjab Kings,Royal Challengers Bangalore,"New PCA Stadium, Chandigarh",Completed,157,6,20.0,159,3,18.5,Royal Challengers Bengaluru,No,7.0,Wickets
Match 38,2025-04-20,19:30:00,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Completed,177,1,15.4,176,5,20.0,Mumbai Indians,No,9.0,Wickets
Match 39,2025-04-21,19:30:00,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Completed,159,8,20.0,198,3,20.0,Gujarat Titans,No,39.0,Runs
Match 40,2025-04-22,19:30:00,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,159,6,20.0,161,2,17.5,Delhi Capitals,No,8.0,Wickets
Match 41,2025-04-23,19:30:00,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Completed,143,8,20.0,146,3,15.4,Mumbai Indians,No,7.0,Wickets
Match 42,2025-04-24,19:30:00,Royal Challengers Bangalore,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",Completed,205,5,20.0,194,9,20.0,Royal Challengers Bengaluru,No,11.0,Runs
Match 43,2025-04-25,19:30:00,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Completed,154,10,19.5,155,5,18.4,Sunrisers Hyderabad,No,5.0,Wickets
Match 44,2025-04-26,19:30:00,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",,7,0,1.0,201,4,20.0,,No,,
Match 45,2025-04-27,15:30:00,Mumbai Indians,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Completed,215,7,20.0,161,10,20.0,Mumbai Indians,No,54.0,Runs
