Match_No,Umpire1,Umpire2,Third_Umpire,Referee,Player_of_Match,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin,Date,Time,Team1,Team2,Venue_x,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Captain_Team1,Coach_Team1,Owner_Team1,Venue_y,Captain_Team2,Coach_Team2,Owner_Team2,Venue
Match 11,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Nitish Rana,Chennai Super Kings,Field,Rajasthan Royals,6  Runs,2025-03-30,19:30:00,Rajasthan Royals,Chennai Super Kings,"ACA Stadium, Guwahati",Completed,182,9,20.0,176,6,20.0,Rajasthan Royals,No,6.0,Runs,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 12,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Ashwani Kumar,Mumbai Indians,Field,Mumbai Indians,8  Wickets,2025-03-31,19:30:00,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Completed,121,2,12.5,116,10,16.2,Mumbai Indians,No,8.0,Wickets,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens
Match 13,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Prabhsimran Singh,Punjab Kings,Field,Punjab Kings,8  Wickets,2025-04-01,19:30:00,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,171,7,20.0,177,2,16.2,Punjab Kings,No,8.0,Wickets,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
Match 14,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Mohammed Siraj,Gujarat Titans,Field,Gujarat Titans,8  Wickets,2025-04-02,19:30:00,Royal Challengers Bengaluru,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Completed,169,8,20.0,170,2,17.5,Gujarat Titans,No,8.0,Wickets,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 15,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Vaibhav Arora,Sunrisers Hyderabad,Field,Kolkata Knight Riders,80  Runs,2025-04-03,19:30:00,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Completed,200,6,20.0,120,10,16.4,Kolkata Knight Riders,No,80.0,Runs,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
Match 16,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Digvesh Singh,Mumbai Indians,Field,Lucknow Super Giants,12  Runs,2025-04-04,19:30:00,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,203,8,20.0,191,5,20.0,Lucknow Super Giants,No,12.0,Runs,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 17,Abhijeet Bengeri,Abhijeet Bengeri,Abhijeet Bengeri,Prakash Bhatt,K L Rahul,Delhi Capitals,Bat,Delhi Capitals,25  Runs,2025-04-05,15:30:00,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",Completed,158,5,20.0,183,6,20.0,Delhi Capitals,No,25.0,Runs,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 18,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Jofra Archer,Punjab Kings,Field,W     Rajasthan Royals,50  Runs,2025-04-05,19:30:00,Punjab Kings,Rajasthan Royals,"New PCA Stadium, Chandigarh",Completed,155,9,20.0,205,4,20.0,Rajasthan Royals,No,50.0,Runs,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 19,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Nicholas Pooran,Kolkata Knight Riders,Field,WD     Lucknow Super Giants,4  Runs,2025-04-06,19:30:00,Sunrisers Hyderabad,Gujarat Titans,"Rajiv Gandhi International Stadium, Hyderabad",Completed,152,8,20.0,153,3,16.4,Gujarat Titans,No,7.0,Wickets,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 20,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,Mohammed Siraj,Gujarat Titans,Field,Gujarat Titans,7  Wickets,2025-04-07,19:30:00,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Completed,209,9,20.0,221,5,20.0,Royal Challengers Bengaluru,No,12.0,Runs,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 21,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Rajat Patidar,Mumbai Indians,Field,Royal Challengers Bengaluru,12  Runs,2025-04-08,15:30:00,Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",Completed,234,7,20.0,238,3,20.0,Lucknow Super Giants,No,4.0,Runs,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 22,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Priyansh Arya,Punjab Kings,Bat,Punjab Kings,18  Runs,2025-04-08,19:30:00,Punjab Kings,Chennai Super Kings,"New PCA Stadium, Chandigarh",Completed,219,6,20.0,201,5,20.0,Punjab Kings,No,18.0,Runs,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 23,Rohan Pandit,Rohan Pandit,Rohan Pandit,Shakti Singh,Sai Sudharsan,Rajasthan Royals,Field,WD     Gujarat Titans,58  Runs,2025-04-09,19:30:00,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Completed,217,6,20.0,159,10,19.2,Gujarat Titans,No,58.0,Runs,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 24,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,K L Rahul,Delhi Capitals,Field,Delhi Capitals,6  Wickets,2025-04-10,19:30:00,Royal Challengers Bengaluru,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Completed,163,7,20.0,169,4,17.5,Delhi Capitals,No,6.0,Wickets,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
