No,Match_No,Team1_Team2,Team1_Score,Team2_Score,Result,Date,Time,Venue,Is_Super_Over
34,Match 25,Chennai Super Kings vs KKR,103/9 (20.0 OV),107/2 (10.1 OV),Kolkata Knight Riders Won by 8 Wickets,"APR, FRI 11 , 7:30 pm IST","APR, FRI 11 , 7:30 pm IST","MA Chidambaram Stadium, Chennai",No
35,Match 24,RCB vs Delhi Capitals,163/7 (20.0 OV),169/4 (17.5 OV),Delhi Capitals Won by 6 Wickets,"APR, THU 10 , 7:30 pm IST","APR, THU 10 , 7:30 pm IST","M Chinnaswamy Stadium, Bengaluru",No
36,Match 23,Gujarat Titans vs Rajasthan Royals,217/6 (20.0 OV),159 (19.2 OV),Gujarat Titans Won by 58 Runs,"APR, WED 9 , 7:30 pm IST","APR, WED 9 , 7:30 pm IST","Narendra Modi Stadium, Ahmedabad",No
37,Match 22,Punjab Kings vs Chennai Super Kings,219/6 (20.0 OV),201/5 (20.0 OV),Punjab Kings Won by 18 Runs,"APR, TUE 8 , 7:30 pm IST","APR, TUE 8 , 7:30 pm IST","New PCA Stadium, Chandigarh",No
38,Match 19,KKR vs Lucknow Super Giants,234/7 (20.0 OV),238/3 (20.0 OV),Lucknow Super Giants Won by 4 Runs,"APR, TUE 8 , 3:30 pm IST","APR, TUE 8 , 3:30 pm IST","Eden Gardens, Kolkata",No
39,Match 21,Mumbai Indians vs RCB,209/9 (20.0 OV),221/5 (20.0 OV),Royal Challengers Bengaluru Won by 12 Runs,"APR, MON 7 , 7:30 pm IST","APR, MON 7 , 7:30 pm IST","Wankhede Stadium, Mumbai",No
40,Match 20,Sunrisers Hyderabad vs Gujarat Titans,152/8 (20.0 OV),153/3 (16.4 OV),Gujarat Titans Won by 7 Wickets,"APR, SUN 6 , 7:30 pm IST","APR, SUN 6 , 7:30 pm IST","Rajiv Gandhi International Stadium, Hyderabad",No
41,Match 18,Punjab Kings vs Rajasthan Royals,155/9 (20.0 OV),205/4 (20.0 OV),Rajasthan Royals Won by 50 Runs,"APR, SAT 5 , 7:30 pm IST","APR, SAT 5 , 7:30 pm IST","New PCA Stadium, Chandigarh",No
42,Match 17,Chennai Super Kings vs Delhi Capitals,158/5 (20.0 OV),183/6 (20.0 OV),Delhi Capitals Won by 25 Runs,"APR, SAT 5 , 3:30 pm IST","APR, SAT 5 , 3:30 pm IST","MA Chidambaram Stadium, Chennai",No
43,Match 16,Lucknow Super Giants vs Mumbai Indians,203/8 (20.0 OV),191/5 (20.0 OV),Lucknow Super Giants Won by 12 Runs,"APR, FRI 4 , 7:30 pm IST","APR, FRI 4 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No
44,Match 15,KKR vs Sunrisers Hyderabad,200/6 (20.0 OV),120 (16.4 OV),Kolkata Knight Riders Won by 80 Runs,"APR, THU 3 , 7:30 pm IST","APR, THU 3 , 7:30 pm IST","Eden Gardens, Kolkata",No
45,Match 14,RCB vs Gujarat Titans,169/8 (20.0 OV),170/2 (17.5 OV),Gujarat Titans Won by 8 Wickets,"APR, WED 2 , 7:30 pm IST","APR, WED 2 , 7:30 pm IST","M Chinnaswamy Stadium, Bengaluru",No
46,Match 13,Lucknow Super Giants vs Punjab Kings,171/7 (20.0 OV),177/2 (16.2 OV),Punjab Kings Won by 8 Wickets,"APR, TUE 1 , 7:30 pm IST","APR, TUE 1 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No
47,Match 12,Mumbai Indians vs KKR,121/2 (12.5 OV),116 (16.2 OV),Mumbai Indians Won by 8 Wickets,"MAR, MON 31 , 7:30 pm IST","MAR, MON 31 , 7:30 pm IST","Wankhede Stadium, Mumbai",No
48,Match 11,Rajasthan Royals vs Chennai Super Kings,182/9 (20.0 OV),176/6 (20.0 OV),Rajasthan Royals Won by 6 Runs,"MAR, SUN 30 , 7:30 pm IST","MAR, SUN 30 , 7:30 pm IST","ACA Stadium, Guwahati",No
49,Match 10,Delhi Capitals vs Sunrisers Hyderabad,166/3 (16.0 OV),163 (18.4 OV),Delhi Capitals Won by 7 Wickets,"MAR, SUN 30 , 3:30 pm IST","MAR, SUN 30 , 3:30 pm IST","Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",No
50,Match 9,Gujarat Titans vs Mumbai Indians,196/8 (20.0 OV),160/6 (20.0 OV),Gujarat Titans Won by 36 Runs,"MAR, SAT 29 , 7:30 pm IST","MAR, SAT 29 , 7:30 pm IST","Narendra Modi Stadium, Ahmedabad",No
51,Match 8,Chennai Super Kings vs RCB,146/8 (20.0 OV),196/7 (20.0 OV),Royal Challengers Bengaluru Won by 50 Runs,"MAR, FRI 28 , 7:30 pm IST","MAR, FRI 28 , 7:30 pm IST","MA Chidambaram Stadium, Chennai",No
52,Match 7,Sunrisers Hyderabad vs Lucknow Super Giants,190/9 (20.0 OV),193/5 (16.1 OV),Lucknow Super Giants Won by 5 Wickets,"MAR, THU 27 , 7:30 pm IST","MAR, THU 27 , 7:30 pm IST","Rajiv Gandhi International Stadium, Hyderabad",No
53,Match 6,Rajasthan Royals vs KKR,151/9 (20.0 OV),153/2 (17.3 OV),Kolkata Knight Riders Won by 8 Wickets,"MAR, WED 26 , 7:30 pm IST","MAR, WED 26 , 7:30 pm IST","ACA Stadium, Guwahati",No
54,Match 5,Gujarat Titans vs Punjab Kings,232/5 (20.0 OV),243/5 (20.0 OV),Punjab Kings Won by 11 Runs,"MAR, TUE 25 , 7:30 pm IST","MAR, TUE 25 , 7:30 pm IST","Narendra Modi Stadium, Ahmedabad",No
55,Match 4,Delhi Capitals vs Lucknow Super Giants,211/9 (19.3 OV),209/8 (20.0 OV),Delhi Capitals Won by 1 Wicket,"MAR, MON 24 , 7:30 pm IST","MAR, MON 24 , 7:30 pm IST","Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",No
56,Match 3,Chennai Super Kings vs Mumbai Indians,158/6 (19.1 OV),155/9 (20.0 OV),Chennai Super Kings Won by 4 Wickets,"MAR, SUN 23 , 7:30 pm IST","MAR, SUN 23 , 7:30 pm IST","MA Chidambaram Stadium, Chennai",No
57,Match 2,Sunrisers Hyderabad vs Rajasthan Royals,286/6 (20.0 OV),242/6 (20.0 OV),Sunrisers Hyderabad Won by 44 Runs,"MAR, SUN 23 , 3:30 pm IST","MAR, SUN 23 , 3:30 pm IST","Rajiv Gandhi International Stadium, Hyderabad",No
58,Match 1,KKR vs RCB,174/8 (20.0 OV),177/3 (16.2 OV),Royal Challengers Bengaluru Won by 7 Wickets,"MAR, SAT 22 , 7:30 pm IST","MAR, SAT 22 , 7:30 pm IST","Eden Gardens, Kolkata",No
