Team,Played,Won,Lost,NRR,Points
Royal Challengers Bangalore,14,9,4,0.326,19
Chennai Super Kings,14,9,5,0.443,18
Mumbai Indians,14,9,5,0.04,18
Kolkata Knight Riders,14,8,6,0.433,16
Punjab Kings,14,7,7,-0.051,14
Rajasthan Royals,14,6,7,-0.691,13
Deccan Chargers,14,6,8,0.222,12
Kochi Tuskers Kerala,14,6,8,-0.214,12
Pune Warriors India,14,4,9,-0.134,9
Delhi Daredevils,14,4,9,-0.448,9
