Team,Played,Won,Lost,NRR,Points
Rajasthan Royals,14,11,3,0.632,22
Punjab Kings,14,10,4,0.509,20
Chennai Super Kings,14,8,6,-0.192,16
Delhi Daredevils,14,7,6,0.342,15
Mumbai Indians,14,7,7,0.57,14
Kolkata Knight Riders,14,6,7,-0.147,13
Royal Challengers Bangalore,14,4,10,-1.16,8
Deccan Chargers,14,2,12,-0.467,4
