Team,Played,Won,Lost,NRR,Points
Gujarat Titans,14,10,4,0.316,20
Rajasthan Royals,14,9,5,0.298,18
Lucknow Super Giants,14,9,5,0.251,18
Royal Challengers Bangalore,14,8,6,-0.253,16
Delhi Capitals,14,7,7,0.204,14
Punjab Kings,14,7,7,0.126,14
Kolkata Knight Riders,14,6,8,0.146,12
Sunrisers Hyderabad,14,6,8,-0.379,12
Chennai Super Kings,14,4,10,-0.203,8
Mumbai Indians,14,4,10,-0.506,8
