Match_No,Team1,Team2,TossWinner,TossDecision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2,City,Status.1
Match 56,Mumbai Indians,Gujarat Titans,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/6/2025,7:30 pm IST,"Wankhede Stadium, Mumbai",Scheduled,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Mumbai,Scheduled
Match 57,Kolkata Knight Riders,Chennai Super Kings,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/7/2025,7:30 pm IST,"Eden Gardens, Kolkata",Scheduled,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Kolkata,Scheduled
Match 58,Punjab Kings,Delhi Capitals,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/8/2025,7:30 pm IST,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Scheduled,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Dharamshala,Scheduled
Match 59,Lucknow Super Giants,Royal Challengers Bangalore,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/9/2025,7:30 pm IST,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Lucknow,Scheduled
Match 60,Sunrisers Hyderabad,Kolkata Knight Riders,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/10/2025,7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Hyderabad,Scheduled
Match 61,Punjab Kings,Mumbai Indians,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/11/2025,3:30 pm IST,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Scheduled,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Dharamshala,Scheduled
Match 62,Delhi Capitals,Gujarat Titans,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/11/2025,7:30 pm IST,"Arun Jaitley Stadium, Delhi",Scheduled,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Delhi,Scheduled
Match 63,Chennai Super Kings,Rajasthan Royals,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/12/2025,7:30 pm IST,"MA Chidambaram Stadium, Chennai",Scheduled,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Chennai,Scheduled
Match 64,Royal Challengers Bangalore,Sunrisers Hyderabad,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/13/2025,7:30 pm IST,"M Chinnaswamy Stadium, Bengaluru",Scheduled,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Bengaluru,Scheduled
Match 65,Gujarat Titans,Lucknow Super Giants,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/14/2025,7:30 pm IST,"Narendra Modi Stadium, Ahmedabad",Scheduled,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Ahmedabad,Scheduled
Match 66,Mumbai Indians,Delhi Capitals,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/15/2025,7:30 pm IST,"Wankhede Stadium, Mumbai",Scheduled,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Mumbai,Scheduled
Match 67,Rajasthan Royals,Punjab Kings,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/16/2025,7:30 pm IST,"Sawai Mansingh Stadium, Jaipur",Scheduled,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Jaipur,Scheduled
Match 68,Royal Challengers Bangalore,Kolkata Knight Riders,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/17/2025,7:30 pm IST,"M Chinnaswamy Stadium, Bengaluru",Scheduled,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Bengaluru,Scheduled
Match 69,Gujarat Titans,Chennai Super Kings,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/18/2025,3:30 pm IST,"Narendra Modi Stadium, Ahmedabad",Scheduled,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Ahmedabad,Scheduled
Match 70,Lucknow Super Giants,Sunrisers Hyderabad,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/18/2025,7:30 pm IST,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Lucknow,Scheduled
Match 71,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/20/2025,7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,,,,,,,Hyderabad,Scheduled
Match 72,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/21/2025,7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,,,,,,,Hyderabad,Scheduled
Match 73,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/23/2025,7:30 pm IST,"Eden Gardens, Kolkata",Scheduled,,,,,,,Kolkata,Scheduled
Match 74,TBD,TBD,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/25/2025,7:30 pm IST,"Eden Gardens, Kolkata",Scheduled,,,,,,,Kolkata,Scheduled
